ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
599,,Minimum Index Sum of Two Lists,50.7%,Easy,0.4762677241497535, https://leetcode.com/problems/minimum-index-sum-of-two-lists
355,,Design Twitter,30.3%,Medium,0.4013575056633937, https://leetcode.com/problems/design-twitter
1126,,Active Businesses,68.5%,Medium,0.3208150073042144, https://leetcode.com/problems/active-businesses
692,,Top K Frequent Words,51.8%,Medium,0.2402725089450351, https://leetcode.com/problems/top-k-frequent-words
564,,Find the Closest Palindrome,19.7%,Hard,0.1801261662305189, https://leetcode.com/problems/find-the-closest-palindrome
347,,Top K Frequent Elements,61.2%,Medium,0.1517903074513627, https://leetcode.com/problems/top-k-frequent-elements
528,,Random Pick with Weight,43.9%,Medium,0.1261734215253962, https://leetcode.com/problems/random-pick-with-weight
192,,Word Frequency,25.8%,Medium,0.1018691733172172, https://leetcode.com/problems/word-frequency
332,,Reconstruct Itinerary,36.7%,Medium,0.083021433280261, https://leetcode.com/problems/reconstruct-itinerary
253,,Meeting Rooms II,45.7%,Medium,0.0494562805906621, https://leetcode.com/problems/meeting-rooms-ii
56,,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals
273,,Integer to English Words,27.1%,Hard,0.026980053764546, https://leetcode.com/problems/integer-to-english-words
205,,Isomorphic Strings,39.8%,Easy,0.0115441397468653, https://leetcode.com/problems/isomorphic-strings
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
139,,Word Break,40.1%,Medium,0.0087413144015735, https://leetcode.com/problems/word-break
239,,Sliding Window Maximum,43.0%,Hard,0.0078989352245344, https://leetcode.com/problems/sliding-window-maximum
349,,Intersection of Two Arrays,62.5%,Easy,0.0072503489623068, https://leetcode.com/problems/intersection-of-two-arrays
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
22,,Generate Parentheses,62.7%,Medium,0.0043611059090124, https://leetcode.com/problems/generate-parentheses
14,,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0015556336509412, https://leetcode.com/problems/longest-substring-without-repeating-characters
